entry	page	answer	image_a	image_b	left_page	right_page
1000	146	A	H4 6481 (8,1_0216.jpg	H4 6481 (8,1_0217.jpg	146	147
1018	150	B	H4 6481 (8,1_0219.jpg	H4 6481 (8,1_0220.jpg	149	150
1023	150	A	H4 6481 (8,1_0220.jpg	H4 6481 (8,1_0221.jpg	150	151
1024	150	A	H4 6481 (8,1_0220.jpg	H4 6481 (8,1_0221.jpg	150	151
1025	150	A	H4 6481 (8,1_0220.jpg	H4 6481 (8,1_0221.jpg	150	151
1026	150	A	H4 6481 (8,1_0220.jpg	H4 6481 (8,1_0221.jpg	150	151
1057	154	B	H4 6481 (8,1_0223.jpg	H4 6481 (8,1_0224.jpg	153	154
1066	154	A	H4 6481 (8,1_0224.jpg	H4 6481 (8,1_0225.jpg	154	155
1086	156	A	H4 6481 (8,1_0226.jpg	H4 6481 (8,1_0227.jpg	156	157
1087	156	A	H4 6481 (8,1_0226.jpg	H4 6481 (8,1_0227.jpg	156	157
1094	158	B	H4 6481 (8,1_0227.jpg	H4 6481 (8,1_0228.jpg	157	158
1095	158	B	H4 6481 (8,1_0227.jpg	H4 6481 (8,1_0228.jpg	157	158
1103	161	B	H4 6481 (8,1_0229.jpg	H4 6481 (8,1_0231.jpg	159	161
1113	162	B	H4 6481 (8,1_0231.jpg	H4 6481 (8,1_0232.jpg	161	162
1169	169	B	H4 6481 (8,1_0238.jpg	H4 6481 (8,1_0239.jpg	168	169
1180	170	B	H4 6481 (8,1_0239.jpg	H4 6481 (8,1_0240.jpg	169	170
1203	174	A	H4 6481 (8,1_0244.jpg	H4 6481 (8,1_0245.jpg	174	175
1204	174	A	H4 6481 (8,1_0244.jpg	H4 6481 (8,1_0245.jpg	174	175
1205	174	A	H4 6481 (8,1_0244.jpg	H4 6481 (8,1_0245.jpg	174	175
1283	188	A	H4 6481 (8,1_0258.jpg	H4 6481 (8,1_0259.jpg	188	189
1300	190	A	H4 6481 (8,1_0260.jpg	H4 6481 (8,1_0261.jpg	190	191
1301	190	A	H4 6481 (8,1_0260.jpg	H4 6481 (8,1_0261.jpg	190	191
1311	192	B	H4 6481 (8,1_0261.jpg	H4 6481 (8,1_0262.jpg	191	192
1376	201	A	H4 6481 (8,1_0271.jpg	H4 6481 (8,1_0272.jpg	201	202
1377	201	A	H4 6481 (8,1_0271.jpg	H4 6481 (8,1_0272.jpg	201	202
1378	201	A	H4 6481 (8,1_0271.jpg	H4 6481 (8,1_0272.jpg	201	202
1414	206	A	H4 6481 (8,1_0276.jpg	H4 6481 (8,1_0277.jpg	206	207
1448	212	B	H4 6481 (8,1_0281.jpg	H4 6481 (8,1_0282.jpg	211	212
1449	212	B	H4 6481 (8,1_0281.jpg	H4 6481 (8,1_0282.jpg	211	212
1450	212	B	H4 6481 (8,1_0281.jpg	H4 6481 (8,1_0282.jpg	211	212
1452	212	A	H4 6481 (8,1_0282.jpg	H4 6481 (8,1_0283.jpg	212	213
1486	216	A	H4 6481 (8,1_0286.jpg	H4 6481 (8,1_0287.jpg	216	217
1487	216	A	H4 6481 (8,1_0286.jpg	H4 6481 (8,1_0287.jpg	216	217
1488	216	A	H4 6481 (8,1_0286.jpg	H4 6481 (8,1_0287.jpg	216	217
1489	216	A	H4 6481 (8,1_0286.jpg	H4 6481 (8,1_0287.jpg	216	217
1490	216	A	H4 6481 (8,1_0286.jpg	H4 6481 (8,1_0287.jpg	216	217
1491	216	A	H4 6481 (8,1_0286.jpg	H4 6481 (8,1_0287.jpg	216	217
1492	217	B	H4 6481 (8,1_0286.jpg	H4 6481 (8,1_0287.jpg	216	217
1493	217	B	H4 6481 (8,1_0286.jpg	H4 6481 (8,1_0287.jpg	216	217
1519	220	A	H4 6481 (8,1_0290.jpg	H4 6481 (8,1_0291.jpg	220	221
1560	227	A	H4 6481 (8,1_0297.jpg	H4 6481 (8,1_0299.jpg	227	229
1565	230	A	H4 6481 (8,1_0300.jpg	H4 6481 (8,1_0301.jpg	230	231
1566	230	A	H4 6481 (8,1_0300.jpg	H4 6481 (8,1_0301.jpg	230	231
1590	234	A	H4 6481 (8,1_0304.jpg	H4 6481 (8,1_0305.jpg	234	235
1591	234	A	H4 6481 (8,1_0304.jpg	H4 6481 (8,1_0305.jpg	234	235
1649	242	A	H4 6481 (8,1_0312.jpg	H4 6481 (8,1_0313.jpg	242	243
1678	246	A	H4 6481 (8,1_0316.jpg	H4 6481 (8,1_0317.jpg	246	247
1708	250	A	H4 6481 (8,1_0320.jpg	H4 6481 (8,1_0321.jpg	250	251
1709	250	A	H4 6481 (8,1_0320.jpg	H4 6481 (8,1_0321.jpg	250	251
1710	250	A	H4 6481 (8,1_0320.jpg	H4 6481 (8,1_0321.jpg	250	251
1753	256	A	H4 6481 (8,1_0326.jpg	H4 6481 (8,1_0327.jpg	256	257
1771	262	B	H4 6481 (8,1_0331.jpg	H4 6481 (8,1_0332.jpg	261	262
1774	262	A	H4 6481 (8,1_0332.jpg	H4 6481 (8,1_0333.jpg	262	263
1871	275	A	H4 6481 (8,1_0345.jpg	H4 6481 (8,1_0346.jpg	275	276
1968	291	A	H4 6481 (8,1_0361.jpg	H4 6481 (8,1_0362.jpg	291	292
1969	291	A	H4 6481 (8,1_0361.jpg	H4 6481 (8,1_0362.jpg	291	292
1970	291	A	H4 6481 (8,1_0361.jpg	H4 6481 (8,1_0362.jpg	291	292
1971	291	A	H4 6481 (8,1_0361.jpg	H4 6481 (8,1_0362.jpg	291	292
1972	291	A	H4 6481 (8,1_0361.jpg	H4 6481 (8,1_0362.jpg	291	292
1973	291	A	H4 6481 (8,1_0361.jpg	H4 6481 (8,1_0362.jpg	291	292
1974	291	A	H4 6481 (8,1_0361.jpg	H4 6481 (8,1_0362.jpg	291	292
2054	305	B	H4 6481 (8,1_0374.jpg	H4 6481 (8,1_0375.jpg	304	305
2055	305	B	H4 6481 (8,1_0374.jpg	H4 6481 (8,1_0375.jpg	304	305
2081	310	A	H4 6481 (8,1_0380.jpg	H4 6481 (8,1_0381.jpg	310	311
2251	339	A	H4 6481 (8,1_0409.jpg	H4 6481 (8,1_0410.jpg	339	340
2289	347	A	H4 6481 (8,1_0417.jpg	H4 6481 (8,1_0418.jpg	347	348
2290	347	A	H4 6481 (8,1_0417.jpg	H4 6481 (8,1_0418.jpg	347	348
2291	347	A	H4 6481 (8,1_0417.jpg	H4 6481 (8,1_0418.jpg	347	348
2292	347	A	H4 6481 (8,1_0417.jpg	H4 6481 (8,1_0418.jpg	347	348
2293	347	A	H4 6481 (8,1_0417.jpg	H4 6481 (8,1_0418.jpg	347	348
2294	347	A	H4 6481 (8,1_0417.jpg	H4 6481 (8,1_0418.jpg	347	348
2295	347	A	H4 6481 (8,1_0417.jpg	H4 6481 (8,1_0418.jpg	347	348
2296	347	A	H4 6481 (8,1_0417.jpg	H4 6481 (8,1_0418.jpg	347	348
2313	349	A	H4 6481 (8,1_0419.jpg	H4 6481 (8,1_0420.jpg	349	350
2314	349	A	H4 6481 (8,1_0419.jpg	H4 6481 (8,1_0420.jpg	349	350
2315	349	A	H4 6481 (8,1_0419.jpg	H4 6481 (8,1_0420.jpg	349	350
2316	349	A	H4 6481 (8,1_0419.jpg	H4 6481 (8,1_0420.jpg	349	350
2420	362	A	H4 6481 (8,1_0432.jpg	H4 6481 (8,1_0433.jpg	362	363
2421	362	A	H4 6481 (8,1_0432.jpg	H4 6481 (8,1_0433.jpg	362	363
2422	362	A	H4 6481 (8,1_0432.jpg	H4 6481 (8,1_0433.jpg	362	363
2423	362	A	H4 6481 (8,1_0432.jpg	H4 6481 (8,1_0433.jpg	362	363
2445	365	B	H4 6481 (8,1_0434.jpg	H4 6481 (8,1_0435.jpg	364	365
2500	371	A	H4 6481 (8,1_0441.jpg	H4 6481 (8,1_0442.jpg	371	372
2501	371	A	H4 6481 (8,1_0441.jpg	H4 6481 (8,1_0442.jpg	371	372
2533	377	B	H4 6481 (8,1_0446.jpg	H4 6481 (8,1_0447.jpg	376	377
2534	377	B	H4 6481 (8,1_0446.jpg	H4 6481 (8,1_0447.jpg	376	377
2535	377	B	H4 6481 (8,1_0446.jpg	H4 6481 (8,1_0447.jpg	376	377
2536	377	B	H4 6481 (8,1_0446.jpg	H4 6481 (8,1_0447.jpg	376	377
2537	377	B	H4 6481 (8,1_0446.jpg	H4 6481 (8,1_0447.jpg	376	377
2538	377	B	H4 6481 (8,1_0446.jpg	H4 6481 (8,1_0447.jpg	376	377
2539	377	B	H4 6481 (8,1_0446.jpg	H4 6481 (8,1_0447.jpg	376	377
2594	384	B	H4 6481 (8,1_0453.jpg	H4 6481 (8,1_0454.jpg	383	384
2603	384	A	H4 6481 (8,1_0454.jpg	H4 6481 (8,1_0455.jpg	384	385
2699	399	B	H4 6481 (8,1_0468.jpg	H4 6481 (8,1_0469.jpg	398	399
2857	417	A	H4 6481 (8,1_0487.jpg	H4 6481 (8,1_0488.jpg	417	418
2862	418	A	H4 6481 (8,1_0488.jpg	H4 6481 (8,1_0489.jpg	418	419
2877	420	A	H4 6481 (8,1_0490.jpg	H4 6481 (8,1_0491.jpg	420	421
2878	420	A	H4 6481 (8,1_0490.jpg	H4 6481 (8,1_0491.jpg	420	421
2879	420	A	H4 6481 (8,1_0490.jpg	H4 6481 (8,1_0491.jpg	420	421
2889	422	B	H4 6481 (8,1_0491.jpg	H4 6481 (8,1_0492.jpg	421	422
2900	424	A	H4 6481 (8,1_0494.jpg	H4 6481 (8,1_0495.jpg	424	425
2901	424	A	H4 6481 (8,1_0494.jpg	H4 6481 (8,1_0495.jpg	424	425
2902	424	A	H4 6481 (8,1_0494.jpg	H4 6481 (8,1_0495.jpg	424	425
2903	424	A	H4 6481 (8,1_0494.jpg	H4 6481 (8,1_0495.jpg	424	425
2919	427	A	H4 6481 (8,1_0497.jpg	H4 6481 (8,1_0498.jpg	427	428
2920	427	A	H4 6481 (8,1_0497.jpg	H4 6481 (8,1_0498.jpg	427	428
2921	427	A	H4 6481 (8,1_0497.jpg	H4 6481 (8,1_0498.jpg	427	428
2922	427	A	H4 6481 (8,1_0497.jpg	H4 6481 (8,1_0498.jpg	427	428
2923	427	A	H4 6481 (8,1_0497.jpg	H4 6481 (8,1_0498.jpg	427	428
2924	427	A	H4 6481 (8,1_0497.jpg	H4 6481 (8,1_0498.jpg	427	428
2939	430	A	H4 6481 (8,1_0500.jpg	H4 6481 (8,1_0501.jpg	430	431
2940	431	B	H4 6481 (8,1_0500.jpg	H4 6481 (8,1_0501.jpg	430	431
2951	432	A	H4 6481 (8,1_0502.jpg	H4 6481 (8,1_0503.jpg	432	433
2952	432	A	H4 6481 (8,1_0502.jpg	H4 6481 (8,1_0503.jpg	432	433
2953	432	A	H4 6481 (8,1_0502.jpg	H4 6481 (8,1_0503.jpg	432	433
2973	434	A	H4 6481 (8,1_0504.jpg	H4 6481 (8,1_0505.jpg	434	435
2974	434	A	H4 6481 (8,1_0504.jpg	H4 6481 (8,1_0505.jpg	434	435
2975	434	A	H4 6481 (8,1_0504.jpg	H4 6481 (8,1_0505.jpg	434	435
2982	436	B	H4 6481 (8,1_0505.jpg	H4 6481 (8,1_0506.jpg	435	436
2983	436	B	H4 6481 (8,1_0505.jpg	H4 6481 (8,1_0506.jpg	435	436
3057	445	A	H4 6481 (8,1_0515.jpg	H4 6481 (8,1_0516.jpg	445	446
3089	451	A	H4 6481 (8,1_0521.jpg	H4 6481 (8,1_0522.jpg	451	452
3190	465	A	H4 6481 (8,1_0535.jpg	H4 6481 (8,1_0536.jpg	465	466
3191	465	A	H4 6481 (8,1_0535.jpg	H4 6481 (8,1_0536.jpg	465	466
3198	467	A	H4 6481 (8,1_0537.jpg	H4 6481 (8,1_0538.jpg	467	468
3199	467	A	H4 6481 (8,1_0537.jpg	H4 6481 (8,1_0538.jpg	467	468
3200	467	A	H4 6481 (8,1_0537.jpg	H4 6481 (8,1_0538.jpg	467	468
3201	467	A	H4 6481 (8,1_0537.jpg	H4 6481 (8,1_0538.jpg	467	468
3316	479	A	H4 6481 (8,1_0551.jpg	H4 6481 (8,1_0552.jpg	479	480
3317	479	A	H4 6481 (8,1_0551.jpg	H4 6481 (8,1_0552.jpg	479	480
3464	500	A	H4 6481 (8,1_0572.jpg	H4 6481 (8,1_0573.jpg	500	501
3465	500	A	H4 6481 (8,1_0572.jpg	H4 6481 (8,1_0573.jpg	500	501
3493	503	A	H4 6481 (8,1_0575.jpg	H4 6481 (8,1_0576.jpg	503	504
4083	581	B	H4 6481 (8,1_0652.jpg	H4 6481 (8,1_0653.jpg	580	581
4180	593	B	H4 6481 (8,1_0664.jpg	H4 6481 (8,1_0665.jpg	592	593
4181	593	B	H4 6481 (8,1_0664.jpg	H4 6481 (8,1_0665.jpg	592	593
4182	593	B	H4 6481 (8,1_0664.jpg	H4 6481 (8,1_0665.jpg	592	593
4263	603	A	H4 6481 (8,1_0675.jpg	H4 6481 (8,1_0676.jpg	603	604
4298	608	B	H4 6481 (8,1_0679.jpg	H4 6481 (8,1_0680.jpg	607	608
4496	631	B	H4 6481 (8,1_0702.jpg	H4 6481 (8,1_0703.jpg	630	631
4534	636	B	H4 6481 (8,1_0707.jpg	H4 6481 (8,1_0708.jpg	635	636
4581	643	B	H4 6481 (8,1_0714.jpg	H4 6481 (8,1_0715.jpg	642	643
4706	659	B	H4 6481 (8,1_0730.jpg	H4 6481 (8,1_0731.jpg	658	659
4747	664	A	H4 6481 (8,1_0736.jpg	H4 6481 (8,1_0737.jpg	664	665
4858	679	A	H4 6481 (8,1_0751.jpg	H4 6481 (8,1_0752.jpg	679	680
4920	687	A	H4 6481 (8,1_0759.jpg	H4 6481 (8,1_0760.jpg	687	688
5000	696	A	H4 6481 (8,1_0768.jpg	H4 6481 (8,1_0769.jpg	696	697
5231	730	A	H4 6481 (8,1_0802.jpg	H4 6481 (8,1_0803.jpg	730	731
5519	770	A	H4 6481 (8,1_0842.jpg	H4 6481 (8,1_0843.jpg	770	771
5539	775	B	H4 6481 (8,1_0846.jpg	H4 6481 (8,1_0847.jpg	774	775
5718	800	A	H4 6481 (8,1_0872.jpg	H4 6481 (8,1_0873.jpg	800	801
5978	836	B	H4 6481 (8,1_0906.jpg	H4 6481 (8,1_0908.jpg	834	836
